Name,Price,Veg/nonVeg
Veg Classic Momos - Half - Steamed,60,veg
Veg Classic Momos - Full - Steamed,100,veg
Veg Classic Momos - Half - Fried,70,veg
Veg Classic Momos - Full - Fried,110,veg
Veg Classic Momos - Half - Pan Fried,80,veg
Veg Classic Momos - Full - Pan Fried,120,veg
Chilli Paneer Momos - Half - Steamed,80,veg
Chilli Paneer Momos - Full - Steamed,130,veg
Chilli Paneer Momos - Half - Fried,90,veg
Chilli Paneer Momos - Full - Fried,140,veg
Chilli Paneer Momos - Half - Pan Fried,100,veg
Chilli Paneer Momos - Full - Pan Fried,150,veg
Pure  Paneer Momos - Half - Steamed,80,veg
Pure  Paneer Momos - Full - Steamed,130,veg
Pure  Paneer Momos - Half - Fried,90,veg
Pure Paneer Momos - Full - Fried,140,veg
Pure Paneer Momos - Half - Pan Fried,100,veg
Pure  Paneer Momos - Full - Pan Fried,150,veg
Chicken  Classic Momos - Half - Steamed,80,non-veg
Chicken Classic Momos - Full - Steamed,130,non-veg
Chicken  Classic Momos - Half - Fried,90,non-veg
Chicken Classic Momos - Full - Fried,140,non-veg
Chicken Classic Momos - Half - Pan Fried,100,non-veg
Chicken  Classic Momos - Full - Pan Fried,150,non-veg
Cheese  Corn Momos - Half - Steamed,120,veg
Cheese Corn Momos - Full - Steamed,220,veg
Cheese  Corn Momos - Half - Fried,130,veg
Cheese Corn Momos - Full - Fried   ,230,veg
Veg Classic Momos - Half - Tandoori,110,veg
Veg Classic Momos - Full - Tandoori,220,veg
Veg Classic Momos - Half - Achari,120,veg
Veg Classic Momos - Full - Achari,220,veg
Veg Classic Momos - Half - Pudina,130,veg
Veg Classic Momos - Full - Pudina,230,veg
"Veg Classic Momos - Half - Creamy
Afghani",150,veg
"Veg Classic Momos - Full - Creamy
Afghani",250,veg
Chilli Paneer Momos - Half - Tandoori,130,veg
Chilli Paneer Momos - Full - Tandoori,230,veg
Chilli Paneer Momos - Half - Achari,140,veg
Chilli Paneer Momos - Full - Achari,240,veg
Chilli Paneer Momos - Half - Pudina,150,veg
Chilli Paneer Momos - Full - Pudina,250,veg
Chilli Paneer Momos - Half - Creamy Afghani,170,veg
Chilli Paneer Momos - Full - Creamy Afghani,270,veg
Pure Paneer Momos - Half - Tandoori,130,veg
Pure Paneer Momos - Full - Tandoori,230,veg
Pure Paneer Momos - Half - Achari,140,veg
Pure Paneer Momos - Full - Achari,240,veg
Pure Paneer Momos - Half - Pudina,150,veg
Pure Paneer Momos - Full - Pudina,250,veg
Pure Paneer Momos - Half - Creamy Afghani,170,veg
Pure Paneer Momos - Full - Creamy Afghani,270,veg
Chicken Classic Momos - Half - Tandoori,130,non-veg
Chicken Classic Momos - Full - Tandoori,230,non-veg
Chicken Classic Momos - Half - Achari,140,non-veg
Chicken Classic Momos - Full - Achari,240,non-veg
Chicken Classic Momos - Half - Pudina,150,non-veg
Chicken Classic Momos - Full - Pudina,250,non-veg
Chicken Classic Momos - Half - Creamy Afghani,170,non-veg
Chicken Classic Momos - Full - Creamy Afghani,270,non-veg
Veg Classic Momos - Half - Crunchy,90,veg
Veg Classic Momos - Full - Crunchy,150,veg
Veg Classic Momos - Half - Gravy,90,veg
Veg Classic Momos - Full - Gravy,150,veg
Paneer Momos - Half - Crunchy,110,veg
Paneer Momos - Full - Crunchy,190,veg
Paneer Momos - Half - Gravy,110,veg
Paneer Momos - Full - Gravy,190,veg
Cheese Corn Momos - Half - Crunchy,150,veg
Cheese Corn Momos - Full - Crunchy,250,veg
Chicken Momos - Half - Crunchy,110,non-veg
Chicken Momos - Full - Crunchy,190,non-veg
Chicken Momos - Half - Gravy,110,non-veg
Chicken Momos - Full - Gravy,190,non-veg
Veg Momos platter-Half-Assorted,200,veg
Veg Momos platter-Half-Tandoori,480,veg
Paneer Momos platter-Half-Assorted,220,veg
Paneer Momos platter-Half-Tandoori,500,veg
Chicken Momos platter-Half-Assorted,220,non-veg
Chicken Momos platter-Half-Tandoori,500,non-veg
"Noodles, Rice, Manchurian, Spring Roll, Momos",250,veg
Chilli Potatoes-Full,100,veg
Veg Spring Rolls-Full,100,veg
Honey Chilli Potato-Full,130,veg
Cigar Roll (3 Pcs)-Half,160,veg
Mushroom Chilli Papper-Half,120,veg
Mushroom Chilli Papper-Full,220,veg
Veg Manchurian Dry-Half,100,veg
Veg Manchurian Dry-Full,180,veg
Vegetable Salt and Pepper-Half,110,veg
Vegetable Salt and Pepper-Full,200,veg
Chilli Paneer Dry-Half,150,veg
Chilli Paneer Dry-Full,250,veg
Paneer 65-Half,200,veg
Paneer 65-Full,380,veg
Chicken Spring Roll-Full,150,non-veg
Chicken Manchurian Dry-Half,160,non-veg
Chicken Manchurian Dry-Full,260,non-veg
Chilli Chicken Dry-Half,180,non-veg
Chilli Chicken Dry-Full,280,non-veg
Chicken Lolly Pop-Half,250,non-veg
Chicken Lolly Pop-Full,440,non-veg
Drums of heaven-Half,280,veg
Drums of heaven-Full,460,veg
