Name,Price
Veg Classic Momos - Half - Steamed,60
Veg Classic Momos - Full - Steamed,100
Veg Classic Momos - Half - Fried,70
Veg Classic Momos - Full - Fried,110
Veg Classic Momos - Half - Pan Fried,80
Veg Classic Momos - Full - Pan Fried,120
Chilli Paneer Momos - Half - Steamed,80
Chilli Paneer Momos - Full - Steamed,130
Chilli Paneer Momos - Half - Fried,90
Chilli Paneer Momos - Full - Fried,140
Chilli Paneer Momos - Half - Pan Fried,100
Chilli Paneer Momos - Full - Pan Fried,150
Pure  Paneer Momos - Half - Steamed,80
Pure  Paneer Momos - Full - Steamed,130
Pure  Paneer Momos - Half - Fried,90
Pure Paneer Momos - Full - Fried,140
Pure Paneer Momos - Half - Pan Fried,100
Pure  Paneer Momos - Full - Pan Fried,150
Chicken  Classic Momos - Half - Steamed,80
Chicken Classic Momos - Full - Steamed,130
Chicken  Classic Momos - Half - Fried,90
Chicken Classic Momos - Full - Fried,140
Chicken Classic Momos - Half - Pan Fried,100
Chicken  Classic Momos - Full - Pan Fried,150
Cheese  Corn Momos - Half - Steamed,120
Cheese Corn Momos - Full - Steamed,220
Cheese  Corn Momos - Half - Fried,130
Cheese Corn Momos - Full - Fried   ,230
Veg Classic Momos - Half - Tandoori,110
Veg Classic Momos - Full - Tandoori,220
Veg Classic Momos - Half - Achari,120
Veg Classic Momos - Full - Achari,220
Veg Classic Momos - Half - Pudina,130
Veg Classic Momos - Full - Pudina,230
"Veg Classic Momos - Half - Creamy
Afghani",150
"Veg Classic Momos - Full - Creamy
Afghani",250
Chilli Paneer Momos - Half - Tandoori,130
Chilli Paneer Momos - Full - Tandoori,230
Chilli Paneer Momos - Half - Achari,140
Chilli Paneer Momos - Full - Achari,240
Chilli Paneer Momos - Half - Pudina,150
Chilli Paneer Momos - Full - Pudina,250
Chilli Paneer Momos - Half - Creamy Afghani,170
Chilli Paneer Momos - Full - Creamy Afghani,270
Pure Paneer Momos - Half - Tandoori,130
Pure Paneer Momos - Full - Tandoori,230
Pure Paneer Momos - Half - Achari,140
Pure Paneer Momos - Full - Achari,240
Pure Paneer Momos - Half - Pudina,150
Pure Paneer Momos - Full - Pudina,250
Pure Paneer Momos - Half - Creamy Afghani,170
Pure Paneer Momos - Full - Creamy Afghani,270
Chicken Classic Momos - Half - Tandoori,130
Chicken Classic Momos - Full - Tandoori,230
Chicken Classic Momos - Half - Achari,140
Chicken Classic Momos - Full - Achari,240
Chicken Classic Momos - Half - Pudina,150
Chicken Classic Momos - Full - Pudina,250
Chicken Classic Momos - Half - Creamy Afghani,170
Chicken Classic Momos - Full - Creamy Afghani,270
Veg Classic Momos - Half - Crunchy,90
Veg Classic Momos - Full - Crunchy,150
Veg Classic Momos - Half - Gravy,90
Veg Classic Momos - Full - Gravy,150
Paneer Momos - Half - Crunchy,110
Paneer Momos - Full - Crunchy,190
Paneer Momos - Half - Gravy,110
Paneer Momos - Full - Gravy,190
Cheese Corn Momos - Half - Crunchy,150
Cheese Corn Momos - Full - Crunchy,250
Chicken Momos - Half - Crunchy,110
Chicken Momos - Full - Crunchy,190
Chicken Momos - Half - Gravy,110
Chicken Momos - Full - Gravy,190
Veg Momos platter-Half-Assorted,200
Veg Momos platter-Half-Tandoori,480
Paneer Momos platter-Half-Assorted,220
Paneer Momos platter-Half-Tandoori,500
Chicken Momos platter-Half-Assorted,220
Chicken Momos platter-Half-Tandoori,500
"Noodles, Rice, Manchurian, Spring Roll, Momos",250
Chilli Potatoes-Full,100
Veg Spring Rolls-Full,100
Honey Chilli Potato-Full,130
Cigar Roll (3 Pcs)-Half,160
Mushroom Chilli Papper-Half,120
Mushroom Chilli Papper-Full,220
Veg Manchurian Dry-Half,100
Veg Manchurian Dry-Full,180
Vegetable Salt and Pepper-Half,110
Vegetable Salt and Pepper-Full,200
Chilli Paneer Dry-Half,150
