Ingredient Name,Quantity,Price,Amount
Cleaned-Ingredients,0,0,0
salt,0,0,0
amchur (dry mango powder),0,0,0
karela (bitter gourd pavakkai),0,0,0
red chilli powder,0,0,0
gram flour (besan),0,0,0
onion,0,0,0
cumin seeds (jeera),0,0,0
coriander powder,0,0,0
turmeric powder,0,0,0
sunflower oil,0,0,0
tomato,0,0,0
chickpea lentils,0,0,0
green chilli,0,0,0
rice,0,0,0
mustard,0,0,0
bc belle bhat powder,0,0,0
dry red chilli,0,0,0
cashew peanuts,0,0,0
oilasafoetida,0,0,0
cumin seeds,0,0,0
white urad dal,0,0,0
