Dish Name,Ingredient Name,Actual Ing,Quantity,Price,Amount
Masala Karela Recipe
,salt,Salt - to taste,0,0
,amchur (dry mango powder),1 tablespoon Amchur (Dry Mango Powder),0,0
,karela (bitter gourd pavakkai),,0,0
,red chilli powder,1 tablespoon Red Chilli powder,0,0
,gram flour (besan),3 tablespoon Gram flour (besan),0,0
,onion,1 Onion - thinly sliced,0,0
,cumin seeds (jeera),2 teaspoons Cumin seeds (Jeera),0,0
,coriander powder,1 tablespoon Coriander Powder (Dhania),0,0
,turmeric powder,2 teaspoons Turmeric powder (Haldi),0,0
,sunflower oil,Sunflower Oil - as required,0,0


Spicy Tomato Rice (Recipe)
,tomato, 3 tomatoes,0,0
,salt, salt - as per taste,0,0
,chickpea lentils, 1 teaspoon chickpea lentils,0,0
,green chilli, 1 green chilli,0,0
,rice,2-1 / 2 cups rice - cooked,0,0
,mustard, 1/2 Teaspoon mustard,0,0
,bc belle bhat powder, 3 teaspoons BC Belle Bhat powder,0,0
,dry red chilli, 1 dry red chilli,0,0
,cashew peanuts,,0,0
,oilasafoetida,,0,0
,cumin seeds, 1/2 teaspoon cumin seeds,0,0
,white urad dal, 1 teaspoon white urad dal,0,0


Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast
,salt,Salt - to taste,0,0
,rice vermicelli noodles (thin),1-1/2 cups Rice Vermicelli Noodles (Thin),0,0
,asafoetida (hing),1/4 teaspoon Asafoetida (hing),0,0
,mustard seeds,1 teaspoon Mustard seeds,0,0
,ghee,1 teaspoon Ghee,0,0
,green peas (matar),1/3 cup Green peas (Matar),0,0
,carrot,1/2 cup Carrots (Gajjar) - chopped,0,0
,curry leaves,1 sprig Curry leaves,0,0
,white urad dal (split),1 teaspoon White Urad Dal (Split),0,0
,onion,1 Onion - sliced,0,0
,lemon,1 teaspoon Lemon juice,0,0
,green chillies,2 Green Chillies,0,0


Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken
,tomato,1 Tomato - chopped,0,0
,salt,Salt - to taste,0,0
,ginger,1 inch Ginger - finely chopped,0,0
,sorrel leaves (gongura),2 cups Sorrel Leaves (Gongura) - picked and chopped,0,0
,fennel seeds (saunf),1 teaspoon Fennel seeds (Saunf),0,0
,sesame (gingelly) oil,1 teaspoon Sesame (Gingelly) Oil,0,0
,cloves garlic,4 cloves Garlic,0,0
,coriander (dhania) seeds,1 tablespoon Coriander (Dhania) Seeds,0,0
,onion,2 Onion - chopped,0,0
,chicken,500 grams Chicken,0,0
,methi seeds (fenugreek seeds),1/4 teaspoon Methi Seeds (Fenugreek Seeds),0,0
,dry red chillies,4 Dry Red Chillies,0,0
